*******************************************************************************
USER DATA                   {Unspecified by user}           Fri Dec-22 05:35:34
Local ID: -839369              (TLE ID = 39369)
 
Geocentric SGP4/SDP4 Two-Line Elements (TLEs):

1 39369U 13055AC  23355.77119201  .00100300  12551-5  10733-2 0  9999
2 39369  80.9531 247.5178 0278342  30.2449 331.4520 15.28467463537133
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Dec 22 05:35:34 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-839369) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Nov-20 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Dec-21 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.231221.p240314
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-DEC-21. PREDICTS-> 2024-MAR-13
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460268.500000000, A.D. 2023-Nov-20 00:00:00.0000,  3.047036079435893E-02,  6.670156043604657E+03,  8.083102237525056E+01,  2.856699087058616E+02,  1.362284574430916E+02,  2.460268490480664E+06,  6.339122746381862E-02,  5.213742344708179E+01,  5.495880136397958E+01,  6.879785592805265E+03,  7.089415142005872E+03,  5.679019233465306E+03,
2460268.541666667, A.D. 2023-Nov-20 01:00:00.0000,  3.066815403494157E-02,  6.657796374385834E+03,  8.082344616737717E+01,  2.856232983998621E+02,  1.371643372107179E+02,  2.460268556309884E+06,  6.354837884942317E-02,  2.796002417849458E+02,  2.761150091294916E+02,  6.868438710746565E+03,  7.079081047107295E+03,  5.664975354493527E+03,
2460268.583333333, A.D. 2023-Nov-20 02:00:00.0000,  3.188383326919504E-02,  6.644637253288543E+03,  8.081999826440111E+01,  2.855634962917435E+02,  1.341427781175266E+02,  2.460268555880670E+06,  6.361738457809339E-02,  1.508947160957378E+02,  1.526117590132361E+02,  6.863471018903207E+03,  7.082304784517870E+03,  5.658830560034777E+03,
2460268.625000000, A.D. 2023-Nov-20 03:00:00.0000,  3.058346453152255E-02,  6.666846354747181E+03,  8.082910601976997E+01,  2.855118350514013E+02,  1.344206779212780E+02,  2.460268621538319E+06,  6.342733761599445E-02,  1.897043642879305E+01,  2.015229656054410E+01,  6.877174166959490E+03,  7.087501979171800E+03,  5.675786081067022E+03,
2460268.666666667, A.D. 2023-Nov-20 04:00:00.0000,  3.051418817284538E-02,  6.668493185573777E+03,  8.083009409936267E+01,  2.854703052988293E+02,  1.341874259660344E+02,  2.460268687173518E+06,  6.341063989381840E-02,  2.476495372025362E+02,  2.444634579653373E+02,  6.878381410250770E+03,  7.088269634927764E+03,  5.677280667768418E+03,
2460268.708333333, A.D. 2023-Nov-20 05:00:00.0000,  3.092646732427767E-02,  6.650911117279977E+03,  8.081990194125665E+01,  2.854196995169841E+02,  1.318918349814802E+02,  2.460268686811285E+06,  6.362164577654736E-02,  1.183047675547865E+02,  1.213673029969806E+02,  6.863164551523819E+03,  7.075417985767661E+03,  5.658451547518842E+03,
2460268.750000000, A.D. 2023-Nov-20 06:00:00.0000,  2.903140238682848E-02,  6.665988562434994E+03,  8.082150760348043E+01,  2.853607769517752E+02,  1.346037850853268E+02,  2.460268752933298E+06,  6.359199463514317E-02,  3.438834414326690E+02,  3.429266970616926E+02,  6.865297784934840E+03,  7.064607007434686E+03,  5.661089922803764E+03,
2460268.791666667, A.D. 2023-Nov-20 07:00:00.0000,  2.997858732752242E-02,  6.672494516089546E+03,  8.083045875402321E+01,  2.853125604106856E+02,  1.344846674931194E+02,  2.460268818611755E+06,  6.340611737607640E-02,  2.123870303239106E+02,  2.106037592447449E+02,  6.878708478925585E+03,  7.084922441761624E+03,  5.677685606654582E+03,
